Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"0805'"	"28.7mm"	"-13.08mm"	"28.7mm"	"-12.07mm"	"28.7mm"	"-12.07mm"	"T"	"270"	"1u"
"C2"	"0805'"	"34.54mm"	"-2.29mm"	"35.56mm"	"-2.29mm"	"35.56mm"	"-2.29mm"	"T"	"180"	"4.7u"
"C3"	"0805'"	"18.54mm"	"-15.49mm"	"18.54mm"	"-14.48mm"	"18.54mm"	"-14.48mm"	"T"	"270"	"4.7u"
"C4"	"0805'"	"23.62mm"	"-15.24mm"	"22.61mm"	"-15.24mm"	"22.61mm"	"-15.24mm"	"T"	"0"	"4.7u"
"C5"	"0805'"	"33.78mm"	"-7.49mm"	"33.78mm"	"-8.51mm"	"33.78mm"	"-8.51mm"	"T"	"90"	"10u"
"C6"	"0805'"	"36.07mm"	"-7.49mm"	"36.07mm"	"-8.51mm"	"36.07mm"	"-8.51mm"	"T"	"90"	"0.1u"
"C7"	"0805'"	"62.48mm"	"-4.06mm"	"62.48mm"	"-4.06mm"	"63.5mm"	"-4.06mm"	"T"	"180"	"1u"
"C8"	"0805'"	"62.48mm"	"-6.48mm"	"62.48mm"	"-6.48mm"	"63.5mm"	"-6.48mm"	"T"	"180"	"0.1u"
"C9"	"0805'"	"64.9mm"	"-9.91mm"	"64.9mm"	"-9.91mm"	"64.9mm"	"-10.92mm"	"T"	"90"	"10n"
"C10"	"0805'"	"67.31mm"	"-9.91mm"	"67.31mm"	"-9.91mm"	"67.31mm"	"-10.92mm"	"T"	"90"	"4.7u"
"C11"	"0805'"	"84.33mm"	"-25.53mm"	"84.33mm"	"-25.53mm"	"85.34mm"	"-25.53mm"	"T"	"180"	"2.2u"
"C12"	"0805'"	"73.41mm"	"-18.67mm"	"73.41mm"	"-18.67mm"	"73.41mm"	"-19.69mm"	"T"	"90"	"2.2u"
"C13"	"1210"	"89.41mm"	"-20.45mm"	"89.41mm"	"-20.45mm"	"89.41mm"	"-22.17mm"	"T"	"90"	"0.1u PPS ECH-U1C104GX5"
"C14"	"1210"	"93.47mm"	"-14.73mm"	"93.47mm"	"-14.73mm"	"91.74mm"	"-14.73mm"	"T"	"0"	"0.1u PPS ECH-U1C104GX5"
"C15"	"0805'"	"94.87mm"	"-11.3mm"	"94.87mm"	"-11.3mm"	"95.89mm"	"-11.3mm"	"T"	"180"	"100p NP0"
"C16"	"0805'"	"89.92mm"	"-11.43mm"	"89.92mm"	"-11.43mm"	"90.93mm"	"-11.43mm"	"T"	"180"	"100p NP0"
